,Unnamed: 0,mrt_mult,int_adj,sur_mult,PVFP
0,0,0.9,-0.05,0.75,620164.4153013483
1,1,0.9,-0.04,0.75,569881.5828958018
2,2,0.9,-0.03,0.75,524720.5017512483
3,3,0.9,-0.020000000000000004,0.75,484064.95468007383
4,4,0.9,-0.010000000000000002,0.75,447381.60424951656
5,5,0.9,0.0,0.75,414207.85432285094
6,6,0.9,0.009999999999999995,0.75,384141.6183139437
7,7,0.9,0.020000000000000004,0.75,356832.6760949895
8,8,0.9,0.03,0.75,331975.3574448216
9,9,0.9,0.04,0.75,309302.3355498846
10,10,0.9,0.05,0.75,288579.3513613414
11,11,0.92,-0.05,0.75,610419.8930207142
12,12,0.92,-0.04,0.75,560917.5742128178
13,13,0.92,-0.03,0.75,516451.8047551114
14,14,0.92,-0.020000000000000004,0.75,476417.0600155263
15,15,0.92,-0.010000000000000002,0.75,440289.2156860505
16,16,0.92,0.0,0.75,407613.6304317403
17,17,0.92,0.009999999999999995,0.75,377995.0999910982
18,18,0.92,0.020000000000000004,0.75,351089.3706191757
19,19,0.92,0.03,0.75,326595.9546556089
20,20,0.92,0.04,0.75,304252.0357642393
21,21,0.92,0.05,0.75,283827.28798044904
22,22,0.94,-0.05,0.75,600679.976168966
23,23,0.94,-0.04,0.75,551957.6843468411
24,24,0.94,-0.03,0.75,508186.7989898191
25,25,0.94,-0.020000000000000004,0.75,468772.48013804655
26,26,0.94,-0.010000000000000002,0.75,433199.8098621386
27,27,0.94,0.0,0.75,401022.09584486
28,28,0.94,0.009999999999999995,0.75,371851.0111807487
29,29,0.94,0.020000000000000004,0.75,345348.2642316719
30,30,0.94,0.03,0.75,321218.54621132236
31,31,0.94,0.04,0.75,299203.54807655275
32,32,0.94,0.05,0.75,279076.87419161585
33,33,0.96,-0.05,0.75,590944.662204298
34,34,0.96,-0.04,0.75,543001.9110517936
35,35,0.96,-0.03,0.75,499925.48246714467
36,36,0.96,-0.020000000000000004,0.75,461131.2132846253
37,37,0.96,-0.010000000000000002,0.75,426113.3852118244
38,38,0.96,0.0,0.75,394433.2491689575
39,39,0.96,0.009999999999999995,0.75,365709.35064125655
40,40,0.96,0.020000000000000004,0.75,339609.35582415806
41,41,0.96,0.03,0.75,315843.1311210624
42,42,0.96,0.04,0.75,294156.8715995066
43,43,0.96,0.05,0.75,274328.1091990402
44,44,0.98,-0.05,0.75,581213.9485863898
45,45,0.98,-0.04,0.75,534050.2520829033
46,46,0.98,-0.03,0.75,491667.85320000775
47,47,0.98,-0.020000000000000004,0.75,453493.2576932626
48,48,0.98,-0.010000000000000002,0.75,419029.9401700434
49,49,0.98,0.0,0.75,387847.089011568
